date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-03-28,2714.87,2746.88,2694.83,2687.96,345834.88,-52.76,-1.92,2767.886,2830.098,2858.091,419332.84,349679.69,352126.99
2018-03-27,2775.63,2780.84,2747.59,2726.36,392116.62,8.72,0.32,2807.756,2847.748,2867.283,416943.38,345982.5,354214.31
2018-03-26,2767.36,2773.54,2738.87,2709.57,427422.09,-52.6,-1.88,2839.118,2861.327,2876.259,392778.87,347378.44,357709.2
2018-03-23,2786.53,2800.25,2791.47,2754.66,626232.5,-75.2,-2.62,2870.796,2878.398,2888.005,359380.31,349621.31,361445.11
2018-03-22,2894.13,2902.77,2866.67,2851.29,305058.09,-27.51,-0.95,2886.648,2890.071,2896.29,288518.01,318502.55,349237.23
2018-03-21,2929.0,2932.22,2894.18,2879.53,333887.62,-10.22,-0.35,2892.31,2893.229,2899.55,280026.54,316959.78,353633.2
2018-03-20,2878.95,2907.52,2904.4,2877.1,271294.03,7.14,0.25,2887.74,2891.626,2898.431,275021.62,321488.67,349613.73
2018-03-19,2870.36,2898.23,2897.26,2856.17,260429.3,26.53,0.92,2883.536,2890.434,2895.847,301978.02,341952.85,359360.13
2018-03-16,2895.51,2911.19,2870.73,2869.97,271921.0,-24.25,-0.84,2886.0,2887.107,2891.244,339862.31,345877.07,369483.67
2018-03-15,2860.41,2895.61,2894.98,2860.41,262600.75,23.65,0.82,2893.494,2886.452,2888.209,348487.09,348549.48,401850.57
2018-03-14,2871.72,2879.54,2871.33,2860.97,308863.0,-12.05,-0.42,2894.148,2886.084,2890.752,353893.01,354574.3,425279.45
2018-03-13,2909.25,2921.31,2883.38,2878.2,406076.03,-26.2,-0.9,2895.512,2886.818,2898.666,367955.73,362446.13,457186.55
2018-03-12,2922.62,2927.51,2909.58,2897.24,449850.75,1.38,0.05,2897.332,2891.19,2910.371,381927.68,368039.96,486206.06
2018-03-09,2907.04,2916.55,2908.2,2891.87,315044.91,9.95,0.34,2888.214,2897.611,2923.959,351891.83,373268.91,499517.2
2018-03-08,2878.82,2903.05,2898.25,2865.55,289630.38,20.1,0.7,2879.41,2902.508,2936.031,348611.88,379971.91,510215.67
2018-03-07,2892.44,2921.44,2878.15,2868.04,379176.59,-14.33,-0.49,2878.02,2905.871,2948.18,355255.58,390306.63,531830.8
2018-03-06,2878.92,2893.46,2892.48,2838.61,475935.75,28.49,0.99,2878.124,2905.235,2960.114,356936.53,377738.78,540675.67
2018-03-05,2865.2,2889.74,2863.99,2846.93,299671.5,-0.19,-0.01,2885.048,2901.259,2969.446,354152.24,376767.42,544016.85
2018-03-02,2864.18,2887.89,2864.18,2852.01,298645.16,-27.12,-0.94,2907.008,2895.381,2982.282,394646.0,393090.27,565493.38
